Desktop File Name	Name	Generic Name	Comments	Command	Terminal/UI	Display	Show	MIME Types	Categories	Keywords
panel-desktop-handler.desktop	Create Launcher on the panel		Add a new launcher to the panel based on the information of this desktop file	"xfce4-panel --add=launcher %u"	UI	NoDisplay	Shown	application/x-desktop		
org.kde.merkuro.calendar.desktop	Merkuro Calendar	Calendar	Manage your tasks and events with Calendar	"merkuro-calendar %u"	UI	OnDisplay	Shown	text/calendar	Qt, KDE, Office, Calendar	Kalendar,  Merkuro,  Events
simplescreenrecorder.desktop	SimpleScreenRecorder		A feature-rich screen recorder that supports X11 and OpenGL	"simplescreenrecorder --logfile"	UI	OnDisplay	Shown		AudioVideo, Video, Recorder, Qt	screen recorder, screencast, live streaming, ssr
kcm_keyboard.desktop	Keyboard			"systemsettings kcm_keyboard"	UI	NoDisplay	Shown			
org.kde.ksirk.desktop	KsirK	World Domination Strategy Game		"ksirk -qwindowtitle %c -qwindowicon ksirk"	UI	OnDisplay	Shown		Qt, KDE, Game, StrategyGame	
org.kde.kdevelop_svn.desktop	KDevelop (Fetch Subversion Project)	Integrated Development Environment		"kdevelop --ps --fetch %U"	UI	NoDisplay	Shown	x-scheme-handler/svn, x-scheme-handler/svn+ssh	Qt, KDE, Development, IDE	
org.kde.ghostwriter.desktop	ghostwriter	Markdown Editor	Distraction-free text editor for Markdown	"ghostwriter %f"	UI	OnDisplay	Shown	text/plain, text/markdown, text/x-markdown	Qt, Office, WordProcessor	Markdown, editor, document, fullscreen, distraction, concentration, focused, writing
gtk3-demo.desktop	GTK+ Demo		GTK+ code examples and demonstrations	"gtk3-demo"	UI	NoDisplay	Shown		Development, GTK	
xfce4-terminal.desktop	Xfce Terminal	Terminal Emulator	Terminal Emulator	"xfce4-terminal"	UI	OnDisplay	Shown		GTK, System, TerminalEmulator	terminal, command line, prompt, cli, cmd, xterm, bash, shell, dos
org.kde.umbrello.desktop	Umbrello	UML Modeller	Umbrello is a Unified Modelling Language (UML) modelling tool and code generator	"umbrello5 %u -caption %c"	UI	OnDisplay	Shown	application/x-uml, text/x-xmi	Qt, KDE, Development	
org.kde.kig.desktop	Kig	Interactive Geometry	Explore Geometric Constructions	"kig %U --qwindowtitle %c"	UI	OnDisplay	Shown	application/x-kig, application/x-kgeo	Qt, KDE, Education, Math	
org.kde.keditbookmarks.desktop	Bookmark Editor		Bookmark Organizer and Editor	"keditbookmarks"	UI	NoDisplay	Shown		Qt, KDE, Network, WebBrowser	
korganizer-view.desktop	KOrganizer View		Display incidence specified by URL	"korganizer --view %u"	UI	NoDisplay	Shown	application/x-vnd.akonadi.calendar.event, application/x-vnd.akonadi.calendar.journal, application/x-vnd.akonadi.calendar.todo, text/calendar		
org.kde.kinfocenter.desktop	Info Center	Info Center	Centralized and convenient overview of system information	"kinfocenter"	UI	OnDisplay	Shown		Qt, KDE, System	kinfocenter
kcm_kded.desktop	Background Services			"systemsettings kcm_kded"	UI	NoDisplay	Shown			
org.kde.kapman.desktop	Kapman	Pac-Man Clone	Eat pills escaping ghosts	"kapman"	UI	OnDisplay	Shown		Qt, KDE, Game, ArcadeGame	
gpa.desktop	gpa	GNU Privacy Assistant		"gpa %f"	UI	OnDisplay	Shown	application/pgp-encrypted, application/pgp-signature	GTK, Application, Security, Utility	
org.kde.kdeconnect_open.desktop	Open on connected device via KDE Connect	Open on connected device via KDE Connect	Open on a connected device using KDE Connect	"kdeconnect-handler --open %U"	UI	OnDisplay	Shown	application/octet-stream	Qt, KDE, Network	
zenmap.desktop	Zenmap	GUI Port Scanner	A cross-platform GUI for the Nmap Security Scanner.	"zenmap %F"	UI	OnDisplay	Shown		Application, Network, Security	network, scan, scanner, IP, security
kcm_icons.desktop	Icons			"systemsettings kcm_icons"	UI	NoDisplay	Shown			
org.kde.kjots.desktop	KJots	Note Taker	Note Taker	"kjots -qwindowtitle %c"	UI	OnDisplay	Shown		Qt, KDE, Utility, X-KDE-Utilities-PIM	
org.kde.kreversi.desktop	KReversi	Reversi Board Game		"kreversi -qwindowtitle %c"	UI	OnDisplay	Shown		Qt, KDE, Game, BoardGame	
org.kde.kdeconnect.daemon.desktop	KDE Connect			"/usr/lib64/libexec/kdeconnectd"	UI	NoDisplay	Shown			
org.kde.kollision.desktop	Kollision	A simple ball dodging game		"kollision"	UI	OnDisplay	Shown		Qt, KDE, Game, ArcadeGame	
org.kde.merkuro.mail.desktop	Merkuro Mail	EMail Client	Manage your e-mails with Merkuro Mail	"merkuro-mail"	UI	NoDisplay	Shown		Qt, KDE, Office, Email	
org.kde.kdevelop_git.desktop	KDevelop (Fetch git Project)	Integrated Development Environment		"kdevelop --ps --fetch %U"	UI	NoDisplay	Shown	x-scheme-handler/git, x-scheme-handler/git+ssh	Qt, KDE, Development, IDE	
kcm_kdeconnect.desktop	KDE Connect			"systemsettings kcm_kdeconnect"	UI	NoDisplay	Shown			
blueman-adapters.desktop	Bluetooth Adapters		Set Bluetooth Adapter Properties	"blueman-adapters"	UI	OnDisplay	Shown		X-XFCE, Settings, HardwareSettings, X-XFCE-SettingsDialog, GTK	
kcm_regionandlang.desktop	Region & Language			"systemsettings kcm_regionandlang"	UI	NoDisplay	Shown			
org.kde.kigo.desktop	Kigo	Go Board Game		"kigo %u -qwindowicon kigo -qwindowtitle %c"	UI	OnDisplay	Shown	application/x-go-sgf	Qt, KDE, Game, BoardGame	
org.kde.mobile.okular_fb.desktop	Reader	Document viewer	Viewer for various types of documents	"okularkirigami %u"	UI	NoDisplay	Shown	application/x-fictionbook+xml	Qt, KDE, Graphics, Office, Viewer	
org.kde.akonadiconsole.desktop	Akonadi Console		Akonadi Management and Debugging Console	"akonadiconsole"	UI	OnDisplay	Shown		Qt, KDE, Development	
org.kde.onlinequoteseditor5.desktop	Online Quotes Editor	Editor for online price quotes	Editor for online price quotes used by finance applications	"onlinequoteseditor5"	UI	OnDisplay	Shown		Qt, KDE, Office, Finance	
org.kde.kiten.desktop	Kiten	Japanese Reference/Study Tool	Japanese Reference and Study Tool	"kiten -qwindowtitle %c -qwindowicon kiten"	UI	OnDisplay	Shown		Qt, KDE, Education, Languages	
ibus-setup-libbopomofo.desktop	IBus LibBopomofo Preferences		Set ibus-libbopomofo Preferences	"/usr/libexec/ibus-setup-libpinyin libbopomofo"	UI	NoDisplay	Shown			
org.kde.kbounce.desktop	KBounce	Ball Bouncing Game	Ball Bouncing Game	"kbounce -qwindowtitle %c"	UI	OnDisplay	Shown		Qt, KDE, Game, ArcadeGame	
org.kde.rocs.desktop	Rocs	Rocs Graph Theory	Graph Theory Tool for Professors and Students.	"rocs %u -qwindowtitle %c"	UI	OnDisplay	Shown	application/x-rocs	Qt, KDE, Education, Science, Math	
thunar-settings.desktop	File Manager Settings		Configure the Thunar file manager	"thunar-settings"	UI	OnDisplay	Shown		XFCE, GTK, Settings, DesktopSettings, X-XFCE-SettingsDialog, X-XFCE-PersonalSettings	thunar, settings, preferences, configure, thumbnails, file size, date format, shortcuts pane, tree view, tabs
org.kde.akonadi_davgroupware_resource.desktop	DAV Groupware			"akonadi_davgroupware_resource"	UI	NoDisplay	Shown			
org.freedesktop.impl.portal.desktop.kde.desktop	Portal			"/usr/lib64/libexec/xdg-desktop-portal-kde"	UI	NoDisplay	Shown			
kfmclient_html.desktop	Konqueror			"kfmclient --mimetype text/html openURL %u"	UI	NoDisplay	Shown	text/html, application/xhtml+xml, application/xml, x-scheme-handler/http, x-scheme-handler/https	Qt, KDE, Network, WebBrowser	
bookmarks.desktop	Bookmarks		Configure the bookmarks home page	""	UI	OnDisplay	Shown			
kcm_joystick.desktop	Game Controller			"systemsettings kcm_joystick"	UI	NoDisplay	Shown			
org.kde.kwikdisk.desktop	KwikDisk	Removable Media Utility	Panel icon to mount and unmount disks	"kwikdisk -qwindowtitle %c"	UI	OnDisplay	Shown		Qt, KDE, System	
