Desktop File Name	Name	Generic Name	Comments	Command	Terminal/UI	Display	Show	MIME Types	Categories	Keywords
org.kde.keysmith.desktop	Keysmith		Manage your OTP tokens for two factor authentication (2fa)	"keysmith %u"	UI	OnDisplay	Shown	x-scheme-handler/otpauth	Qt, KDE, Utility	
org.kde.ktimetracker.desktop	KTimeTracker	Personal Time Tracker		"ktimetracker"	UI	OnDisplay	Shown		Qt, KDE, Utility, Office, Monitor, X-KDE-Utilities-PIM	
org.kde.kruler.desktop	KRuler	Screen Ruler	Pixel measuring tool for screens	"kruler"	UI	OnDisplay	Shown		Qt, KDE, Utility, Graphics, X-KDE-More	
gparted.desktop	GParted	Partition Editor	Create, reorganize, and delete partitions	"/usr/bin/gparted %f"	UI	OnDisplay	Shown		GNOME, System, Filesystem	Partition
okularApplication_fax.desktop	Okular	Document Viewer	Universal document viewer	"okular %U"	UI	NoDisplay	Shown	image/fax-g3, image/g3fax	Qt, KDE, Graphics, Viewer	
ibus-setup-m17n.desktop	IBus M17N Setup		Set up IBus M17N engine	"/usr/libexec/ibus-setup-m17n"	UI	NoDisplay	Shown			
okularApplication_fb.desktop	Okular	Document Viewer	Universal document viewer	"okular %U"	UI	NoDisplay	Shown	application/x-fictionbook+xml	Qt, KDE, Graphics, Viewer	
org.kde.akonadiimportwizard.desktop	KMail Import Wizard		Launch the import wizard to migrate data from mailer as thunderbird/evolution etc.	"akonadiimportwizard"	UI	OnDisplay	Shown		Qt, KDE, Utility, X-KDE-Utilities-PIM	
xfce4-terminal-emulator.desktop	Terminal Emulator		Use the command line	"exo-open --launch TerminalEmulator"	UI	OnDisplay	Shown		Utility, X-XFCE, X-Xfce-Toplevel	
xine.desktop	xine		Video Player	"xine %U"	UI	OnDisplay	Shown	application/annodex, application/flac, application/ogg, application/smil, application/vnd.ms-asf, application/vnd.rn-realmedia, application/x-annodex, application/x-flac, application/x-flash-video, application/x-mplayer2, application/x-ogg, application/x-ogm, application/x-ogm-audio, application/x-ogm-video, application/x-quicktimeplayer, application/xspf+xml, audio/168sv, audio/8svx, audio/ac3, audio/aiff, audio/annodex, audio/basic, audio/flac, audio/mp3, audio/mp4, audio/mpeg, audio/mpeg2, audio/mpeg3, audio/mpegurl, audio/mpegurl, audio/musepack, audio/ogg, audio/opus, audio/wav, audio/x-16sv, audio/x-8svx, audio/x-aiff, audio/x-annodex, audio/x-basic, audio/x-flac, audio/x-m4a, audio/x-mp3, audio/x-mpeg, audio/x-mpeg2, audio/x-mpeg3, audio/x-mpegurl, audio/x-mpegurl, audio/x-ms-wax, audio/x-ms-wma, audio/x-ms-wvx, audio/x-musepack, audio/x-ogg, audio/x-pn-aiff, audio/x-pn-au, audio/x-pn-realaudio, audio/x-pn-realaudio-plugin, audio/x-pn-wav, audio/x-pn-windows-acm, audio/x-real-audio, audio/x-realaudio, audio/x-scpls, audio/x-wav, audio/x-wavpack, image/ilbm, image/png, image/x-ilbm, image/x-png, video/anim, video/annodex, video/flv, video/mkv, video/mng, video/mp2p, video/mp2t, video/mp4, video/mpeg, video/msvideo, video/ogg, video/quicktime, video/webm, video/x-anim, video/x-annodex, video/x-flic, video/x-flv, video/x-matroska, video/x-mng, video/x-mpeg, video/x-ms-asf, video/x-ms-asf-plugin, video/x-ms-wax, video/x-ms-wmv, video/x-ms-wvx, video/x-msvideo, video/x-ogg, video/x-quicktime, x-content/audio-cdda, x-content/video-dvd, x-content/video-svcd, x-content/video-vcd	Application, AudioVideo, Player	
geeqie.desktop	Geeqie	Image Viewer	View and manage images	"geeqie -r %F"	UI	OnDisplay	Shown	application/x-navi-animation, image/bmp, image/x-bmp, image/x-MS-bmp, image/gif, image/x-icon, image/jpeg, image/png, image/x-portable-anymap, image/x-portable-bitmap, image/x-portable-graymap, image/x-portable-pixmap, image/x-tga, image/tiff, image/x-xbitmap, image/x-xpixmap, image/svg, image/svg+xml, image/x-png, image/xpm, image/x-ico	Graphics, Viewer	
xaos.desktop	XaoS	Fractal generator	Realtime fractal zoomer	"xaos"	UI	OnDisplay	Shown		Education, Science, Math	
kaddressbook-view.desktop	KAddressBook View		Display contact specified by URL	"kaddressbook --view %u"	UI	NoDisplay	Shown	text/directory, application/x-vnd.kde.contactgroup	Qt, KDE, Office, ContactManagement	
jpico.desktop	Joe's Own Editor - NANO/PICO Emulation	Text Editor	View and edit files	"/usr/bin/jpico %F"	Terminal	OnDisplay	Shown	text/english, text/plain, text/x-makefile, text/x-c++hdr, text/x-c++src, text/x-chdr, text/x-csrc, text/x-java, text/x-moc, text/x-pascal, text/x-tcl, text/x-tex, application/x-shellscript, text/x-c, text/x-c++	Utility, Development, TextEditor	
kcm_splashscreen.desktop	Splash Screen			"systemsettings kcm_splashscreen"	UI	NoDisplay	Shown			
okularApplication_kimgio.desktop	Okular	Document Viewer	Universal document viewer	"okular %U"	UI	NoDisplay	Shown	image/bmp, image/x-dds, image/x-eps, image/x-exr, image/gif, image/x-hdr, image/x-ico, image/jp2, image/jpeg, video/x-mng, image/x-portable-bitmap, image/x-pcx, image/x-portable-graymap, image/png, image/x-portable-pixmap, image/x-psd, image/x-rgb, image/x-tga, image/tiff, image/x-xbitmap, image/x-xcf, image/x-xpixmap, image/x-gzeps, image/x-bzeps, image/avif, image/heif, image/webp, image/jxl	Qt, KDE, Graphics, Viewer	
marble_geo.desktop	Marble			"marble --geo-uri=%u"	UI	NoDisplay	Shown	x-scheme-handler/geo		
org.kde.kdialog.desktop	KDialog			"kdialog"	UI	NoDisplay	Shown			
org.kde.krename.desktop	KRename		A batch renamer	"krename -qwindowtitle "%c" %U"	UI	OnDisplay	Shown		Qt, KDE, Utility	
org.freedesktop.Xwayland.desktop	Xwayland		A rootful instance of the Xwayland X11 server	""	UI	NoDisplay	Shown		System	
konsolekalendar.desktop	KonsoleKalendar			"kdialog --sorry "konsolekalendar is a command-line only program.  Please read the handbook at help:/konsolekalendar for more info.""	UI	NoDisplay	Shown		Qt, KDE, Utility, X-KDE-More	
org.kde.kwalletmanager5.desktop	KWalletManager	KDE Wallet Management Tool	KDE Wallet Management Tool	"kwalletmanager5 %F"	UI	OnDisplay	Shown	application/x-kwallet	Qt, KDE, System, Security	
org.kde.kded5.desktop	KDED			""	UI	NoDisplay	Shown			
org.kde.kubrick.desktop	Kubrick	3-D Game based on Rubik's Cube	A 3-D game based on Rubik's Cube	"kubrick"	UI	OnDisplay	Shown		Qt, KDE, Game, LogicGame	
org.kde.kitenkanjibrowser.desktop	Kanji Browser			"kitenkanjibrowser"	UI	NoDisplay	Shown		Qt, KDE, Education, Languages	
okularApplication_chm.desktop	Okular	Document Viewer	Universal document viewer	"okular %U"	UI	NoDisplay	Shown	application/x-chm	Qt, KDE, Graphics, Viewer	
org.kde.kolf.desktop	Kolf	Miniature Golf		"kolf %U"	UI	OnDisplay	Shown	application/x-kourse, application/x-kolf	Qt, KDE, Game, ArcadeGame	
org.kde.showfoto.desktop	showFoto	Photo Viewer and Editor	Manage your photographs like a professional with the power of open source	"showfoto -qwindowtitle %c %U"	UI	OnDisplay	Shown	image/gif, image/x-xpixmap, image/x-xbitmap, image/jpeg, image/png, image/tiff, image/x-bmp, image/x-psd, image/x-portable-bitmap, image/x-portable-pixmap, image/x-portable-graymap, image/x-dcraw, image/heif, image/heic	Qt, Graphics, Photography	
org.gtk.PrintEditor4.desktop	Print Editor		A simple editor demonstrating GTK printing	"gtk4-print-editor %f"	UI	OnDisplay	Shown		Development, GTK	
org.kde.krfb.virtualmonitor.desktop	KRFBs Virtual Monitor		Remote Virtual Monitor	"/usr/bin/krfb-virtualmonitor"	UI	NoDisplay	Shown			
kcm_kwintabbox.desktop	Task Switcher			"systemsettings kcm_kwintabbox"	UI	NoDisplay	Shown			
org.kde.mobile.okular_fax.desktop	Reader	Document viewer	Viewer for various types of documents	"okularkirigami %u"	UI	NoDisplay	Shown	image/fax-g3, image/g3fax	Qt, KDE, Graphics, Office, Viewer	
org.kde.knights.desktop	Knights	Chess game		"knights -qwindowtitle %c"	UI	OnDisplay	Shown		Qt, KDE, Game, BoardGame	
kcm_about-distro.desktop	About this System			"systemsettings kcm_about-distro"	UI	NoDisplay	Shown			
kcm_networkmanagement.desktop	Connections			"systemsettings kcm_networkmanagement"	UI	NoDisplay	Shown			
xboard-pgn-viewer.desktop	Xboard	X-windows chess board	Run XBoard as PGN viewer	"xboard -viewer -lgf %f"	UI	NoDisplay	Shown	application/x-chess-pgn	Game, BoardGame	
org.kde.plasma-systemmonitor.desktop	System Monitor	System Monitor		"plasma-systemmonitor"	UI	OnDisplay	Shown		Qt, KDE, System	task, manager, process, cpu, memory
qwant-maps-geo-handler.desktop	Qwant Maps			"kde-geo-uri-handler --coordinate-template "https://www.qwant.com/maps/#map=<Z>/<LAT>/<LON>" --query-template "https://www.qwant.com/maps/?q=<Q>&client=opensearch" --fallback "https://www.qwant.com/maps/" %u"	UI	NoDisplay	Shown	x-scheme-handler/geo		
org.kde.kbruch.desktop	KBruch	Exercise Fractions	Practice exercises with fractions	"kbruch -qwindowtitle %c -qwindowicon kbruch"	UI	OnDisplay	Shown		Qt, KDE, Education, Math	
org.kde.kdeconnect.handler.desktop	KDE Connect			"kdeconnect-handler %U"	UI	NoDisplay	Shown	x-scheme-handler/tel, x-scheme-handler/sms		
org.kde.kcalc.desktop	KCalc	Scientific Calculator	Calculator which offers many mathematical functions, such as trigonometric functions, logic operations, and statistical calculations	"kcalc"	UI	OnDisplay	Shown		Qt, KDE, Utility, Calculator, X-KDE-Utilities-Desktop	
org.kde.kdeconnect.nonplasma.desktop	KDE Connect Indicator		Display information about your devices	"kdeconnect-indicator"	UI	OnDisplay	Shown		Qt, KDE, Network	
xfce4-web-browser.desktop	Web Browser		Browse the web	"exo-open --launch WebBrowser %u"	UI	OnDisplay	Shown		Network, X-XFCE, X-Xfce-Toplevel	
kcm_pulseaudio.desktop	Audio			"systemsettings kcm_pulseaudio"	UI	NoDisplay	Shown			
org.kde.kdf.desktop	KDiskFree	View Disk Usage	Displays information about hard disks and other storage devices	"kdf -qwindowtitle %c"	UI	OnDisplay	Shown		Qt, KDE, System	
org.kde.khangman.desktop	KHangMan	Hangman Game	KDE Hangman Game	"khangman -qwindowtitle "%c""	UI	OnDisplay	Shown		Qt, KDE, Education, Languages, Game, KidsGame	
kcm_firewall.desktop	Firewall			"systemsettings kcm_firewall"	UI	NoDisplay	Shown			
org.kde.akonadi_imap_resource.desktop	Emails			"akonadi_imap_resource"	UI	NoDisplay	Shown			
org.kde.kalarm.desktop	KAlarm	Personal Alarm Scheduler		"kalarm"	UI	OnDisplay	Shown		Qt, KDE, Utility, X-KDE-Utilities-PIM	
kdesystemsettings.desktop	KDE System Settings	KDE System Settings	Configuration tools for your computer	"systemsettings5"	UI	OnDisplay	Shown		Qt, KDE, Settings	
org.kde.kdebugsettings.desktop	KDebugSettings	Debug settings	Configure debug output from Qt applications	"kdebugsettings"	UI	OnDisplay	Shown		Qt, KDE, Development	log, logging, category, categories, journal, logging levels, debug
org.kde.plasmoidviewer.desktop	Plasmoidviewer	Plasma Widget Testing Tool	Testing tool for Plasma applets	"plasmoidviewer"	UI	NoDisplay	Shown		Qt, KDE, Development, IDE	
org.kde.accountwizard.desktop	Account Wizard		Launch the account wizard to configure PIM accounts.	"accountwizard --package %u"	UI	NoDisplay	Shown	application/x-accountwizard-package		
org.kde.yakuake.desktop	Yakuake	Drop-down Terminal	A drop-down terminal emulator based on KDE Konsole technology.	"yakuake"	UI	OnDisplay	Shown		Qt, KDE, System, TerminalEmulator	
org.kde.falkon.desktop	Falkon	Web Browser	A fast and secure web browser	"falkon %u"	UI	OnDisplay	Shown	text/html, application/xhtml+xml, x-scheme-handler/http, x-scheme-handler/https, x-scheme-handler/ftp, application/x-mimearchive	Network, WebBrowser	
org.kde.klines.desktop	Kolor Lines	Tactical Game	Tactical game	"klines -qwindowtitle %c"	UI	OnDisplay	Shown		Qt, KDE, Game, StrategyGame	
ktelnetservice5.desktop	KTelnetService			"ktelnetservice5 %u"	UI	NoDisplay	Shown	x-scheme-handler/telnet, x-scheme-handler/rlogin, x-scheme-handler/ssh		
org.fcitx.Fcitx5.desktop	Fcitx 5	Input Method	Start Input Method	"/usr/bin/fcitx5"	UI	OnDisplay	Shown		System, Utility	
org.kde.ksirkskineditor.desktop	KsirK Skin Editor	Skin Editor for the World Domination Strategy Game		"ksirkskineditor -qwindowtitle %c -qwindowicon preferences-desktop-locale"	UI	OnDisplay	Shown		Qt, KDE, Game, StrategyGame	
kcm_solid_actions.desktop	Device Actions			"systemsettings kcm_solid_actions"	UI	NoDisplay	Shown			
qv4l2.desktop	Qt V4L2 test Utility		Allow testing Video4Linux devices	"qv4l2"	UI	OnDisplay	Shown		AudioVideo	video, grabber, V4L
fcitx5-configtool.desktop	Fcitx 5 Configuration	Input Method Configuration	Change Fcitx 5 Configuration	"/usr/bin/fcitx5-configtool"	UI	OnDisplay	Shown		Settings	
org.kde.konquest.desktop	Konquest	Galactic Strategy Game		"konquest -qwindowtitle %c"	UI	OnDisplay	Shown		Qt, KDE, Game, StrategyGame	
kcm_cddb.desktop	CDDB Retrieval			"systemsettings kcm_cddb"	UI	NoDisplay	Shown			
kcm_lookandfeel.desktop	Global Theme			"systemsettings kcm_lookandfeel"	UI	NoDisplay	Shown			
org.kde.kmousetool.desktop	KMouseTool	Automatic Mouse Click	Clicks the mouse for you, reducing the effects of RSI	"kmousetool -qwindowtitle %c"	UI	OnDisplay	Shown		Qt, KDE, Utility, Accessibility	
org.gnome.Glade.desktop	Glade	Interface Designer	Create or open user interface designs for GTK+ applications	"glade %F"	UI	OnDisplay	Shown	application/x-gtk-builder, application/x-glade	GNOME, GTK, Development, GUIDesigner	GUI designer, user interface, ui builder
org.kde.blinken.desktop	Blinken	Memory Enhancement Game	A memory enhancement game	"blinken"	UI	OnDisplay	Shown		Qt, KDE, Education, Game, KidsGame	
org.kde.ksudoku.desktop	KSudoku	Sudoku Game	KSudoku, Sudoku game & more by KDE	"ksudoku -qwindowicon ksudoku -qwindowtitle %c"	UI	OnDisplay	Shown		Qt, KDE, Game, LogicGame	
org.kde.mobile.okular_txt.desktop	Reader	Document viewer	Viewer for various types of documents	"okularkirigami %u"	UI	NoDisplay	Shown	text/plain	Qt, KDE, Graphics, Office, Viewer	
org.kde.akonadi_contacts_resource.desktop	Personal Contacts			"akonadi_contacts_resource"	UI	NoDisplay	Shown			
org.kde.konqueror.desktop	Konqueror	Web Browser, File Manager and Viewer	KDE File Manager & Web Browser	"konqueror %U"	UI	NoDisplay	Shown		Qt, KDE, Internet, Network	
google-maps-geo-handler.desktop	Google Maps			"kde-geo-uri-handler --coordinate-template "https://www.google.com/maps/@<LAT>,<LON>,<Z>z" --query-template "https://www.google.com/maps/search/<Q>" --fallback "https://www.google.com/maps/" %u"	UI	NoDisplay	Shown	x-scheme-handler/geo		
org.kde.cervisia.desktop	Cervisia	CVS Frontend		"cervisia -qwindowtitle %c %u"	UI	OnDisplay	Shown	inode/directory	Qt, KDE, Development, RevisionControl	
kcm_fontinst.desktop	Font Management			"systemsettings kcm_fontinst"	UI	NoDisplay	Shown			
org.kde.alligator.desktop	Alligator	Feed Reader	Mobile Feed Reader	"alligator"	UI	OnDisplay	Shown		Network, Qt, KDE, Feed	
okularApplication_dvi.desktop	Okular	Document Viewer	Universal document viewer	"okular %U"	UI	NoDisplay	Shown	application/x-dvi, application/x-gzdvi, application/x-bzdvi	Qt, KDE, Graphics, Viewer	
kcm_clock.desktop	Date & Time			"systemsettings kcm_clock"	UI	NoDisplay	Shown			
org.kde.plasma.lookandfeelexplorer.desktop	Plasma Global Theme Explorer		Explore and edit your Plasma Global Themes	"lookandfeelexplorer"	UI	OnDisplay	Shown		Qt, KDE, Development, IDE	
kcm_keys.desktop	Shortcuts			"systemsettings kcm_keys"	UI	NoDisplay	Shown			
org.kde.contactprintthemeeditor.desktop	Contact Print Theme Editor	Contact Print Theme Editor		"contactprintthemeeditor"	UI	OnDisplay	Shown		Qt, KDE, Office, Network, ContactManagement	
marble_kml.desktop	Marble	Virtual Globe		"marble %F"	UI	NoDisplay	Shown	application/vnd.google-earth.kml+xml	Qt, KDE, Education, Geography	
org.kde.kdeconnect.app.desktop	KDE Connect	Device Synchronization	Make all your devices one	"kdeconnect-app"	UI	OnDisplay	Shown		Qt, KDE, Network	
org.kde.plasma.browser_integration.host.desktop	Plasma Browser Integration Host			"/usr/bin/plasma-browser-integration-host"	UI	NoDisplay	Shown			
org.kde.akonadi_google_resource.desktop	Google Groupware			"akonadi_google_resource"	UI	NoDisplay	Shown			
ibus-setup-kkc.desktop	Kana Kanji Conversion Preferences		Customize Kana Kanji Conversion input-method	"/usr/libexec/ibus-setup-kkc"	UI	NoDisplay	Shown			
org.kde.marble.desktop	KDE Marble	Virtual Globe	Navigation and Maps	"marble %F"	UI	OnDisplay	Shown		Qt, KDE, Education, Geoscience, Geography, Science, Maps	
eboard.desktop	eboard	Chess Game	A graphical chess engine frontend	"eboard"	UI	OnDisplay	Shown		Application, Game, BoardGame	
org.kde.mobile.okular_mobi.desktop	Reader	Document viewer	Viewer for various types of documents	"okularkirigami %u"	UI	NoDisplay	Shown	application/x-mobipocket-ebook	Qt, KDE, Graphics, Office, Viewer	
gcdmaster.desktop	Gnome CD Master		Gnome Audio CD editor and burner	"gcdmaster %F"	UI	OnDisplay	Shown		GNOME, AudioVideo, Application, X-Fedora	
xfce4-screensaver-preferences.desktop	Xfce Screensaver	Xfce Screensaver	Set your xfce4-screensaver preferences	"xfce4-screensaver-preferences"	UI	OnDisplay	Shown		GTK, Settings, DesktopSettings, X-XFCE-PersonalSettings, X-XFCE-SettingsDialog	
gtk3-widget-factory.desktop	Widget Factory		A showcase for GTK+ widgets, designed for testing themes.	"gtk3-widget-factory"	UI	NoDisplay	Shown		Development, GTK	
org.kde.ksnakeduel.desktop	KSnakeDuel	A race in hyperspace		"ksnakeduel"	UI	OnDisplay	Shown		Qt, KDE, Game, ArcadeGame	
org.freedesktop.IBus.Panel.Emojier.desktop	Emoji Choice			"ibus emoji"	UI	NoDisplay	Shown			
xfce-display-settings.desktop	Display		Configure screen settings and layout	"xfce4-display-settings"	UI	OnDisplay	Shown		XFCE, GTK, Settings, DesktopSettings, X-XFCE-SettingsDialog, X-XFCE-HardwareSettings	display, settings, screen, resolution, refresh, rate, rotation, external, projectors, monitors, LCD, CRT, HiDPI
kcm_mouse.desktop	Mouse			"systemsettings kcm_mouse"	UI	NoDisplay	Shown			
org.kde.PrintQueue.desktop	Print Queue		View the print jobs	"kde-print-queue"	UI	NoDisplay	Shown		Qt, KDE, Printing, Utility	
kcm_kwindecoration.desktop	Window Decorations			"systemsettings kcm_kwindecoration"	UI	NoDisplay	Shown			
org.kde.kdenlive.desktop	Kdenlive	Video Editor	Nonlinear video editor by KDE	"kdenlive %F"	UI	OnDisplay	Shown	application/x-kdenlive	Qt, KDE, AudioVideo, AudioVideoEditing	editing, video, audio, mlt, kde
org.kde.kpat.desktop	KPatience	Patience Card Game	Solitaire card game	"kpat -qwindowtitle %c %u"	UI	OnDisplay	Shown	application/vnd.kde.kpatience.savedstate	Qt, KDE, Game, CardGame	
org.kde.kcolorschemeeditor.desktop	KColorSchemeEditor	Color scheme editor	Plasma color scheme editor	"kcolorschemeeditor"	UI	NoDisplay	Shown		Qt, KDE, Settings, X-KDE-settings-looknfeel	
org.kde.ksystemlog.desktop	KSystemLog	System Log Viewer	System log viewer tool	"ksystemlog -qwindowtitle %c"	UI	OnDisplay	Shown		Qt, KDE, System, Monitor	log, logfile, system messages, system log, kernel log, authentication log, X.org log, journald log, services logs, Event Viewer, eventvwr, eventlog
kcm_powerdevilprofilesconfig.desktop	Energy Saving			"systemsettings kcm_powerdevilprofilesconfig"	UI	NoDisplay	Shown			
org.kde.marble.maps.desktop	Marble Maps	OpenStreetMap Navigation	Find your way	"marble-maps %F"	UI	OnDisplay	Shown		Qt, KDE, Education, Geography, Maps	
xfce4-session-logout.desktop	Log Out		Log out of the Xfce Desktop	"xfce4-session-logout"	UI	OnDisplay	Shown		System, X-XFCE, X-Xfce-Toplevel	
xfce4-accessibility-settings.desktop	Accessibility		Improve keyboard and mouse accessibility	"xfce4-accessibility-settings"	UI	OnDisplay	Shown		XFCE, GTK, Settings, DesktopSettings, X-XFCE-SettingsDialog, X-XFCE-SystemSettings	assistive, technologies, keys, sticky, bounce, emulation, screen readers, magnifiers, a11y, i18n, l10n, AT-SPI, ATK, impairment
org.kde.mobile.okular_kimgio.desktop	Reader	Document viewer	Viewer for various types of documents	"okularkirigami %u"	UI	NoDisplay	Shown	image/bmp, image/x-dds, image/x-eps, image/x-exr, image/gif, image/x-hdr, image/x-ico, image/jp2, image/jpeg, video/x-mng, image/x-portable-bitmap, image/x-pcx, image/x-portable-graymap, image/png, image/x-portable-pixmap, image/x-psd, image/x-rgb, image/x-tga, image/tiff, image/x-xbitmap, image/x-xcf, image/x-xpixmap, image/x-gzeps, image/x-bzeps, image/avif, image/heif, image/webp, image/jxl	Qt, KDE, Graphics, Office, Viewer	
thunar-volman-settings.desktop	Removable Drives and Media		Configure management of removable drives and media	"thunar-volman-settings"	UI	OnDisplay	Shown		XFCE, GTK, Settings, DesktopSettings, X-XFCE-SettingsDialog, X-XFCE-HardwareSettings	
qt5-qdbusviewer.desktop	Qt5 QDbusViewer	Qt5 D-Bus Debugger	Debug D-Bus applications	"qdbusviewer-qt5"	UI	OnDisplay	Shown		Qt, Development, Debugger	
htop.desktop	Htop	Process Viewer	Show System Processes	"htop"	Terminal	OnDisplay	Shown		System, Monitor, ConsoleOnly	system, process, task
org.kde.krusader.desktop	Krusader	File Manager	Twin-Panel File Manager	"krusader -qwindowtitle %c %u"	UI	OnDisplay	Shown	inode/directory	FileManager, Utility, Qt, KDE	
org.kde.khelpcenter.desktop	Help	Help Center	Browse and search documentation	"khelpcenter %u"	UI	OnDisplay	Shown	x-scheme-handler/help, x-scheme-handler/man, x-scheme-handler/info	Qt, KDE, Core	man, info, documentation, handbook, manual, information
kcm_kwin_virtualdesktops.desktop	Virtual Desktops			"systemsettings kcm_kwin_virtualdesktops"	UI	NoDisplay	Shown			
org.fcitx.fcitx5-migrator.desktop	Fcitx 5 Migration Wizard		Import data from other input method such as Fcitx 4	"fcitx5-migrator"	UI	OnDisplay	Shown		Settings	
org.kde.drkonqi.desktop	Dr Konqi			"/usr/lib64/libexec/drkonqi"	UI	NoDisplay	Shown			
kcm_kwin_effects.desktop	Desktop Effects			"systemsettings kcm_kwin_effects"	UI	NoDisplay	Shown			
org.fcitx.fcitx5-qt5-gui-wrapper.desktop	Fcitx 5 Qt5 Gui Wrapper	Input Method Configuration helper	Load configuration plugin for Fcitx Addon	"/usr/libexec/fcitx5-qt5-gui-wrapper"	UI	NoDisplay	Shown		Settings	
org.kde.sweeper.desktop	Sweeper	System Cleaner	Helps to clean unwanted traces the user leaves on the system and to regain disk space removing unused temporary files	"sweeper"	UI	OnDisplay	Shown		Qt, KDE, Utility	
kcm_notifications.desktop	Notifications			"systemsettings kcm_notifications"	UI	NoDisplay	Shown			
kipiplugins.desktop	KIPI Plugins		KDE Image Plugins Interface	""""	UI	NoDisplay	Shown		Qt, KDE, Graphics	
soma.desktop	Internet Radio	Live Internet Radio Streams	Soma - Live Internet Streams	"soma"	Terminal	OnDisplay	Shown		Application, Network, Audio, Player	
org.kde.kmines.desktop	KMines	Minesweeper-like Game	Minesweeper-like Game	"kmines -qwindowtitle %c"	UI	OnDisplay	Shown		Qt, KDE, Game, StrategyGame	
org.kde.kapptemplate.desktop	KAppTemplate	App Code Template Generator		"kapptemplate"	UI	OnDisplay	Shown		Qt, KDE, Development	
org.kde.mobile.okular_ghostview.desktop	Reader	Document viewer	Viewer for various types of documents	"okularkirigami %u"	UI	NoDisplay	Shown	application/postscript, image/x-eps, application/x-gzpostscript, application/x-bzpostscript, image/x-gzeps, image/x-bzeps	Qt, KDE, Graphics, Office, Viewer	
rxvt-unicode.desktop	rxvt-unicode		A VT102 emulator for the X window system	"urxvt"	UI	OnDisplay	Shown		System, TerminalEmulator	
qt5-assistant.desktop	Qt5 Assistant		Shows Qt5 documentation and examples	"assistant-qt5"	UI	OnDisplay	Shown		Qt, Development, Documentation	
org.kde.kshisen.desktop	Shisen-Sho	Shisen-Sho Mahjongg-like Tile Game		"kshisen -qwindowtitle %c"	UI	OnDisplay	Shown		Qt, KDE, Game, BoardGame	
joe.desktop	Joe's Own Editor	Text Editor	View and edit files	"/usr/bin/joe %F"	Terminal	OnDisplay	Shown	text/english, text/plain, text/x-makefile, text/x-c++hdr, text/x-c++src, text/x-chdr, text/x-csrc, text/x-java, text/x-moc, text/x-pascal, text/x-tcl, text/x-tex, application/x-shellscript, text/x-c, text/x-c++	Utility, Development, TextEditor	
kcm_kamera.desktop	Digital Camera			"systemsettings kcm_kamera"	UI	NoDisplay	Shown			
org.kde.lskat.desktop	LSkat	Classic German Card Game		"lskat"	UI	OnDisplay	Shown		Qt, KDE, Game, CardGame	
org.kde.ksquares.desktop	KSquares	Connect the dots to create squares	Connect the dots to create squares	"ksquares -qwindowicon ksquares -qwindowtitle %c"	UI	OnDisplay	Shown		Game, BoardGame, Qt, KDE	
kcm_fonts.desktop	Fonts			"systemsettings kcm_fonts"	UI	NoDisplay	Shown			
org.kde.plasma.cuttlefish.desktop	Cuttlefish	Icon Viewer	Icon Previewer for Artists and Developers	"cuttlefish"	UI	OnDisplay	Shown		Qt, KDE, Development, IDE	design, icon, preview, symbol
org.kde.kdiamond.desktop	KDiamond	Three-in-a-row game	Logic game	"kdiamond -qwindowtitle %c"	UI	OnDisplay	Shown		Qt, KDE, Game, LogicGame	
org.kde.mobile.okular_plucker.desktop	Reader	Document viewer	Viewer for various types of documents	"okularkirigami %u"	UI	NoDisplay	Shown	application/prs.plucker	Qt, KDE, Graphics, Office, Viewer	
kfmclient.desktop	Konqueror			"kfmclient openURL %u"	UI	NoDisplay	Shown		Qt, KDE, System	
xterm.desktop	XTerm		standard terminal emulator for the X window system	"xterm"	UI	OnDisplay	Shown		System, TerminalEmulator	shell, prompt, command, commandline, cmd
pavucontrol.desktop	PulseAudio Volume Control	Volume Control	Adjust the volume level	"pavucontrol"	UI	OnDisplay	Shown		AudioVideo, Audio, Mixer, GTK, Settings, X-XFCE-SettingsDialog, X-XFCE-HardwareSettings	pavucontrol, Microphone, Volume, Fade, Balance, Headset, Speakers, Headphones, Audio, Mixer, Output, Input, Devices, Playback, Recording, System Sounds, Sound Card, Settings, Preferences
org.kde.kblocks.desktop	KBlocks	Falling Blocks Game		"kblocks -qwindowtitle %c"	UI	OnDisplay	Shown		Qt, KDE, Game, ArcadeGame	
xboard.desktop	Xboard	Chess Game	Chess Game	"xboard"	UI	OnDisplay	Shown		Game, BoardGame	
nm-connection-editor.desktop	Advanced Network Configuration		Manage and change your network connection settings	"nm-connection-editor"	UI	OnDisplay	Shown		GNOME, GTK, Settings, X-GNOME-NetworkSettings, X-GNOME-Utilities	
okularApplication_plucker.desktop	Okular	Document Viewer	Universal document viewer	"okular %U"	UI	NoDisplay	Shown	application/prs.plucker	Qt, KDE, Graphics, Viewer	
org.kde.plasma.themeexplorer.desktop	Plasma Theme Explorer		Explore and edit your Plasma themes	"plasmathemeexplorer"	UI	OnDisplay	Shown		Qt, KDE, Development, GUIDesigner	
org.kde.okteta.desktop	Okteta	Hex Editor		"okteta %U"	UI	OnDisplay	Shown		Qt, KDE, Utility, X-KDE-Utilities-File	
kcm_printer_manager.desktop	Printers			"systemsettings kcm_printer_manager"	UI	NoDisplay	Shown			
org.kde.gwenview_importer.desktop	Gwenview Importer			"gwenview_importer %u"	UI	NoDisplay	Shown			
